visit_date,review_title,review_desc,review_rating
25 December 2017,"You pay for what you get, food is average however new burger is good","McDonalds is a place where most of us go for a quick snack, the fries as of late have been inconsistent and at times to served lukewarm. Better start getting that right again.  Chicken burger tasted like card board, however the new beef burger with...mushrooms tastes actually like beef and it says it is 100% Angus. It reminded me of the days when Big Mac was introduced and still tasted good.  The angle of food has to become a more real-food angle. Todays consumers are more health conscious. Tell them too what is really in the burgers and win their trust as too many negatives are spread over the internet. Also work on the healthy offerings as we all are more careful what we put in our bodies. The new Angus Burger I would rate 5 out of 5 and will go back for it. Yes it is a bit more expensive but worth it.  I do want to recognize the fact that the ordering system is very good and minimizes waiting time.   Well done, keep on working on your product quality please. There are many who will pay more for that.",30
10 August 2017,Nice place,Good location. Good and fast service of the staff. The taste of the food was also good. Big place so crowd is divided.,40
19 June 2017,No Service branch at North point and Causeway pt Singapore,I dont know about other branches but so far the this two branches the Service has been very bad. The Mccafe and icecream section the staff are very rude and never greet customer sometimes when i make an order for an icecream they will say...No stock but it show there is and i seen people im queue ordering.Also sometimes i ask for something they do not understand amd argue with me like the Auntie staff in icecream section and the  student staff selling icecream  in causeway point Macdonald too is very rude .They misunderstand my order and even Correct it in their own words what are they trying to prove they are very smart .seriously lacking service .Even after showing off what she label the name of icecream and i told her other collegue of the name she told me and still her other blur collegue do not understand what i was talking about really lacking experience and empathy .This is frustrating and bad service,20
1 March 2017,Fast food,"I don't understand how can McDonald be in here.
Horrible burgers, dead meat.....
Eat here when every where is closed and you are short of cash.",10
16 February 2017,24x7 - Easy and Cheap option for Fast food,"McD is universally recognised brand.
Easy and cheap option for food and is open 24x7.
Please note that the waiting time is more on weekends and friday evenings.

Very limited options for vegetarians.
McChicken Burger, Chicken McSpicy, Corn cup, twisted fries are famous in Singapore....Meal includes Burger/salad + Cool drink/water + fries/apple pie
Coffe is also available here.

Home delivery is available for orders above 10S$

McCafe will have wide range of coffee to choose from.
One of the great places to hangout for hours together with friends.",50
16 January 2017,always full,"Never can find a space to sit here. The tables are always full and when people finish eating, they don't clean up after themselves. 
This is one of the worst Mcdonalds.",20
23 November 2016,Different but nice menu ,"While on a small outing with my wife and friends, we stopped by McDonald's just get a quick bit to eat. The menu was different than what I have seen in Japan, Thailand, and Indonesia. I had the samurai burger and it was fantastic. They...More",50
9 November 2016,Quick Bite!,This mcdonald's  is located in Raffles place after you exit from City Mall Mrt. Service is good. Taking the order separately & wait ur number for the foods by checking the Screen. Never get disappointed visiting any branch of McDonald's.,50
31 October 2016,it has a lot of food,a lot of food and not so crowded.we can also collect the food from the people and rest while waiting.it has self ordering machines,50
30 October 2016,McDonalds...very interesting.,"Yes, I had to visit the Mickey D's in Singapore, and they were the same, but with a twist, they had a café with pastries which had a separate counter and they had an ice cream counter when you first walked in, and they have...More",40
1 October 2016,Great place for a quick bite,McDonalds' filet-o-fish with fries and coke zero is my light meal of choice when I need to fuel up without fuss. Saw a placard advertising the new ebi burger at the counter; it was great to have something different from the same old. The new...More,40
13 August 2016,mcdonald mccafe -good for breakfast and tea time.,"This morning i went to Mccafe for a breakfast.
I asked for chocolate diva cake. As for drink, I asked for something which is not found in menu.
I want to see whether the staff in Mccafe is willing to make this type of drink....More",40
13 May 2016,GOOD FOOD,"good food and service ,walking distance from my hotel ,Atmosphere  good tables were cleaned as they were emptied .",40
13 January 2016,Trying the new festive burger,"After seeing the ads on TV and the newspapers, I ‘succumbed’ to the ads and bought the burger set to try. 

For the festive burger, it had beef patty, lettuce, tomato, sautéed onions and an ‘artificial’ turkey bacon. 

The burger was not bad, except for...More",30
9 December 2015,Chicken bacon..?!? Skip it...,Sometimes you just have to stop at McDonald's... Had only a few minutes for lunch today so stopped in at Marina Square outlet and tried the new Beef Clubhouse burger... It was good except for the chicken bacon which was hard and tasteless and spoiled...More,30
25 September 2015,A good place to grab a bite after all that walking!,"Definitely comfort food for kids when you are away from home smile emoticon As for the pricing, couple of McChicken Meals, cokes and a tea came to S$14. Quite reasonable!",30
22 July 2015,A great place to hang out,"A great place to hang out and rest for before and after shopping, the food there always the same as the rest in singapore, dont put your hope to high on service, as for the food is reasonable cheap",40
28 June 2015,Awesome,"I was a fan of McDonalds since i was 10. I love their food. Although some say their food is unhealthy, i still not give up on their food and chose corn cup instead of fries. I love their quarter pounder with cheese and Big...More",50
24 February 2015,Rude Macdonald staff and Salty and Oily fries,I guess we all love macdonald but lately the Macdonald standard became worse....such as Oily and salty fries as more usually prepare by the part timers mostly secondary students or Aunties....😰i m not being biased but its true especially the ones in North point and...More,20
22 February 2015,Yummy frappe Himalayas tea,"Tried the frappe Himalayas tea this afternoon.  It is fabulous! ❤️❤️❤️❤️❤️ Will definitely come back again to chill out with friends.  They also have nice cakes to go with the coffee and tea. Unfortunately, not all branches have the cafe.  So blessed  to live near...More",40
10 August 2014,Protein On The Move,"I patronised McDonald's on 9/Aug/2014 at 10.22 pm  The outlet's location is at Blk 148 Potong Pasir Avenue 1, Unit #01-43.

I bought a Double Cheese Burger Meal that came with a sad pocket of not-hot fries and a small cup of Coke for S$5....More",10
17 March 2014,Quiet place on a Sunday afternoon,"The Boat Quay outlet is quiet and nice on Sundays, as the business district winds down over the weekend. Kids love to run around UOB plaza as well.",40
28 October 2013,McDonalds....,nothing out of the ordinary except mcdonlds in Singapore deliver 24/7... my burger was as i would expect. the mcflurrys however seem to have shrunk in Singapore....,30
9 August 2013,Try the new Smoothies of McCafe.,"I was dying for a Smoothie after my workout session on Thursday. I happened to pass through a McCafe on my way back home, near the Orchard Road area, and saw their delicious new menus. 

They now have this new menu of Smoothies. I tried...More",40
27 July 2013,quick service - reliable quality,"we were sick and tired of eating the continental and Chinese food and heard about a McDonalds from a staff at the Fullerton. So we headed to a store , which was 5 minutes walk from the Fullerton hotel and it was great and quick...More",50
5 June 2013,New Combination,"Try the McGriddle Meal of Mcdonalds for breakfast. It is very delicious as the bun used is pancake instead of the usual McMuffin Meal. Also, coffee is refillable so drink all you can.

For lunch, try the spicy chicken sandwhich. It costs around $6.2 per...More",40
29 April 2013,Recycled cooking oil in the mcmuffin?,"Is there any need to smear oil on the inside of the mcmuffin that is served for breakfast? 
One,  it tastes like recycled cooking oil and two, it is unnecessary and unhealthy. Wouldn't it be better to serve the muffin as is or let the...More",30
8 April 2013,Mc Donald's,"Just to remind you of what your missing if yor a Big Mac fan, as a change for wonderful fried rice and stays etc in the hawker food stalls.",40
19 November 2012,Dining,McDonald was very good place to dine those who like burgers...I liked their Mcspicy and the french fries... their fresh fruit shakes also a great one...the breakfast also a very excellent one...,50
6 November 2012,Expensive,singapore has 1 of the more expensive McDonalds compared to its neighboring countries.. same pricr in numbers but currency difference made it almost half as cheap to eat in Msia.,30
25 September 2012,Why would you?,"You're in one of the great food cities of the world and you want.....this? 

Look a little further, if it's the value for money you want there's so much better quality at the same price at any hawker centre or food court.",10
31 July 2012,Tried and tested,One of our meals was at Mac's on our way back from Jurong Bird park. Expect the same hospitality and quick service..,40
3 July 2012,Still Lovin' It!,"Best value Breakfast, Lunch and Dinner meals on the island are found here!

Always consistent!",50
24 April 2012,McCafe Orchard Rd,"Great service, great staff.  The coffee was amazing!
Great for smokers!!!!",50
13 April 2012,Flawless Customer Service!,"I would like to compliment 1 telephone operator - Ain. I was working night shift with my colleague and decided to order Mcdonald's. When the call got through, I was informed by Ain that as the system is down, it might take a while longer...More",50
19 February 2012,Fast & Best Lunch Set!,"I'm working at town area and MOST of time, if I'm rushing for meeting after lunch time, I will usually get Mc.Donalds set lunch!

Yes, where can you get a set meals with:
1) Burger/ Chicken/ Nuggets
2) Drinks
3) Fries

with only $4.50?  Even...More",40
25 September 2011,Perfect location on the river,"McDonald's is pretty much McDonald's the world over (with a few culturally-specific changes to some menu items). But this McDonald's is ideally located on the river, which makes for a great setting to what is probably not going to be your most exciting meal/snack. After...More",50
2 June 2011,Nice place to hangout,"Great place to hangout with kids n family. I find the atmosphere nice and easy. Lots of kids,
Young couples and pets",40
7 February 2009,Value for money fast food!,Value for money fast food!,30
19 July 2008,Always a firm favourite...,Always a firm favourite with locals..,50
12 July 2008,big breakfast is yummy,big breakfast is yummy,40
